Comment,Designator,Footprint,LCSC,Quantity
100uF/20V,C1,CP_EIA-7343-31_Kemet-D_HandSolder,C122302,1
0.05R,R_SENSE1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C149662,1
PJ-002B,J2,CUI_PJ-002B,C22359705,1
3386P-1-502LF,RV1,Potentiometer_Bourns_3386P_Vertical,C22461636,1
2.2k,"R1,R10,R11,R13,R14,R2,R3,R4,R5,R6,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C269724,13
ES2F,D1,D_SMB-SMC_Universal_Handsoldering,C2844160,1
100uH,L1,L_12x12mm_H6mm,C2962892,1
MPSA42,"Q1,Q10,Q11,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",TO-92,C305411,11
IRF740,Q12,TO-220-3_Vertical,C34373758,1
0.1uF/25V,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C396718,2
MAX1771xSA,U1,SO-8_3.9x4.9mm_P1.27mm,C407903,1
Screw_Terminal_01x02,"J3,J4","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C5183929,2
0.1uF/250V,C5,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C52020,1
IN-12BIN-12-DSUB,NX1,nixies-us-IN-12-DSUB,,1
4.7uF/250V,C4,CP_Elec_8x10.5,,1
1M5,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x11_Pin,J1,PinHeader_1x11_P2.54mm_Vertical,,1
